imdb_id,nota_letterboxd,avaliacoes_letterboxd,diretor,url_letterboxd
tt1696192,1.58,20895,Savage Steve Holland,https://letterboxd.com/film/a-fairly-odd-movie-grow-up-timmy-turner/
tt3149536,1.71,3917,Savage Steve Holland,https://letterboxd.com/film/a-fairly-odd-summer/
tt11390036,2.71,30356,Tyler Perry,https://letterboxd.com/film/a-fall-from-grace-2020/
tt21051906,1.96,179474,Richard LaGravenese,https://letterboxd.com/film/a-family-affair-2024-1/
tt1718924,2.89,4698,Mark Williams,https://letterboxd.com/film/a-family-man/
tt15260940,2.71,447,Veronica Velasco,https://letterboxd.com/film/a-faraway-land/
tt0104257,4.07,357998,Rob Reiner,https://letterboxd.com/film/a-few-good-men/
tt27502245,3.61,2832,"João Salaviza, Renée Nader Messora",https://letterboxd.com/film/the-buriti-flower/
tt0060438,3.27,8559,Richard Lester,https://letterboxd.com/film/a-funny-thing-happened-on-the-way-to-the-forum/
tt5566790,3.21,35720,David Wain,https://letterboxd.com/film/a-futile-and-stupid-gesture/
tt4137596,3.06,239,Neill Fearnley,https://letterboxd.com/film/a-gift-of-miracles/
tt5144072,3.86,2804,Sharmeen Obaid-Chinoy,https://letterboxd.com/film/a-girl-in-the-river-the-price-of-forgiveness/
tt5630122,3.24,275,Flávio R. Tambellini,https://letterboxd.com/film/gloria-and-grace/
tt1606378,1.87,102426,John Moore,https://letterboxd.com/film/a-good-day-to-die-hard/
tt3983732,3.55,268,Liz Garbus,https://letterboxd.com/film/a-good-job-stories-of-the-fdny/
tt0401445,3.17,45813,Ridley Scott,https://letterboxd.com/film/a-good-year/
tt0113198,3.72,286297,Kevin Lima,https://letterboxd.com/film/a-goofy-movie/
tt39314348,4.11,7374,James Reed,https://letterboxd.com/film/a-gorilla-story-told-by-david-attenborough/
tt2392343,2.96,249,Stefano Capuzzi Lapietra,https://letterboxd.com/film/the-great-victory/
tt13318486,2.42,410,Arthur Vinciprova,https://letterboxd.com/film/the-grotto-2020/
tt20203720,2.95,579,Guile Branco,https://letterboxd.com/film/a-halloween-feast/
tt22687790,3.04,424972,Kenneth Branagh,https://letterboxd.com/film/a-haunting-in-venice/
tt31037863,3.95,10347,Joel Edwards,https://letterboxd.com/film/a-heros-journey-the-making-of-percy-jackson-and-the-olympians/
tt0399146,3.73,304407,David Cronenberg,https://letterboxd.com/film/a-history-of-violence/
tt21950514,2.41,3762,Alex Ranarivelo,https://letterboxd.com/film/a-hollywood-christmas-2022/
tt0089297,3.78,64497,Suzana Amaral,https://letterboxd.com/film/hour-of-the-star/
tt0059281,3.86,1565,Roberto Santos,https://letterboxd.com/film/the-hour-and-turn-of-augusto-matraga/
tt32376165,2.84,294127,Kathryn Bigelow,https://letterboxd.com/film/a-house-of-dynamite/
tt17003896,2.95,5386,João Wainer,https://letterboxd.com/film/a-jaula/
tt14307536,3.27,5757,Tyler Perry,https://letterboxd.com/film/a-jazzmans-blues/
tt31805808,3.13,1097,RC Delos Reyes,https://letterboxd.com/film/a-journey-2024/
tt13400142,3.4,645,Péter Fazakas,https://letterboxd.com/film/the-game-2022/
tt0183790,3.67,336650,Brian Helgeland,https://letterboxd.com/film/a-knights-tale/
tt4357170,2.83,4628,Pedro Pablo Ibarra,https://letterboxd.com/film/a-la-mala/
tt36628631,2.96,388,Chinaza Onuzo,https://letterboxd.com/film/a-lagos-love-story/
tt33712667,1.78,1311,Matt Shapira,https://letterboxd.com/film/a-line-of-fire/
tt1422136,2.85,10284,Julian Gilbey,https://letterboxd.com/film/a-lonely-place-to-die/
tt11947282,1.95,2031,Jonathan Judge,https://letterboxd.com/film/a-loud-house-christmas/
tt2737624,3.34,294,"Nelson Pereira dos Santos, Dora Jobim",https://letterboxd.com/film/a-luz-do-tom/
tt9231140,3.23,896,Putrama Tuta,https://letterboxd.com/film/a-man-called-ahok/
tt7405458,3.68,579817,Marc Forster,https://letterboxd.com/film/a-man-called-otto/
tt15766576,3.81,9259,Robert Alexander,https://letterboxd.com/film/a-man-named-scott/
tt0119631,3.08,361,Paul Wendkos,https://letterboxd.com/film/a-match-made-in-heaven/
tt35453979,3.68,15220,Anna Muylaert,https://letterboxd.com/film/the-best-mother-in-the-world/
tt25153888,3.1,24047,Maurício Eça,https://letterboxd.com/film/the-girl-who-killed-her-parents-the-confession/
tt4959972,2.98,1346,Wagner de Assis,https://letterboxd.com/film/a-menina-indigo/
tt4286432,2.63,471,Dustin Rikert,https://letterboxd.com/film/a-mermaids-tale/
tt34992378,2.06,46698,Steve Carr,https://letterboxd.com/film/a-merry-little-ex-mas/
tt13782052,2.58,2640,Álvaro Fernández Armero,https://letterboxd.com/film/1000-miles-from-christmas/
tt1839390,2.9,789,William Dear,https://letterboxd.com/film/a-mile-in-his-shoes/
tt21940010,3.54,24530,Alejandra Márquez Abella,https://letterboxd.com/film/a-million-miles-away-2023/
tt2557490,2.52,163968,Seth MacFarlane,https://letterboxd.com/film/a-million-ways-to-die-in-the-west/
tt3566834,2.43,1633861,Jared Hess,https://letterboxd.com/film/a-minecraft-movie/
tt13605284,2.82,2674,Christine Jeffs,https://letterboxd.com/film/a-mistake/
tt12036096,2.94,224,Robert Malenfant,https://letterboxd.com/film/a-mother-knows-worst/
tt1236397,2.97,11443,Cláudio Torres,https://letterboxd.com/film/the-invisible-woman-2009/
tt1292569,3.02,9567,Kirk R. Thatcher,https://letterboxd.com/film/a-muppets-christmas-letters-to-santa/
tt15565704,2.95,677,Kunle Afolayan,https://letterboxd.com/film/a-naija-christmas/
tt35051106,3.88,24354,Rafaela Camelo,https://letterboxd.com/film/the-nature-of-invisible-things/
tt3278540,2.12,17473,"Nick Riedell, Chris Riedell",https://letterboxd.com/film/a-nice-girl-like-you/
tt7620746,2.62,236,Tom Shell,https://letterboxd.com/film/a-night-to-regret/
tt0087800,3.72,829450,Wes Craven,https://letterboxd.com/film/a-nightmare-on-elm-street/
tt1179056,2.19,203997,Samuel Bayer,https://letterboxd.com/film/a-nightmare-on-elm-street-2010/
tt33427273,3.75,150732,Sam Wrench,https://letterboxd.com/film/a-nonsense-christmas-with-sabrina-carpenter/
tt35668683,2.25,8028,Lucky Kuswandi,https://letterboxd.com/film/a-normal-woman/
tt0117264,3.62,1242,Walter Lima Jr.,https://letterboxd.com/film/the-oyster-and-the-wind/
tt37671699,2.76,952,Jamie Whitney,https://letterboxd.com/film/a-paw-patrol-christmas/
tt3577624,3.51,11106,Fernando León de Aranoa,https://letterboxd.com/film/a-perfect-day-2015/
tt13606090,2.79,2533,Hadrah Daeng Ratu,https://letterboxd.com/film/a-perfect-fit-2021/
tt0971209,3.04,50899,David Twohy,https://letterboxd.com/film/a-perfect-getaway/
tt15215512,2.4,29938,Stuart McDonald,https://letterboxd.com/film/a-perfect-pairing/
tt0107808,3.91,60758,Clint Eastwood,https://letterboxd.com/film/a-perfect-world/
tt9150970,2.56,10830,Gabriela Tagliavini,https://letterboxd.com/film/despite-everything-2019/
tt4080956,3.61,36627,Jean-Stéphane Sauvaire,https://letterboxd.com/film/a-prayer-before-dawn/
tt9487282,2.98,544,Rodrigo Cesar,https://letterboxd.com/film/a-presepada/
tt10715446,2.39,2401,Vicente Amorim,https://letterboxd.com/film/yakuza-princess/
tt0121654,2.9,1688,José Alvarenga Jr.,https://letterboxd.com/film/a-princesa-xuxa-e-os-trapalhoes/
tt32128962,3.49,1265,"Gabriela Carneiro da Cunha, Eryk Rocha",https://letterboxd.com/film/the-falling-sky-2024/
tt6644200,3.64,2086478,John Krasinski,https://letterboxd.com/film/a-quiet-place-2018/
tt8332922,3.41,1018489,John Krasinski,https://letterboxd.com/film/a-quiet-place-part-ii/
tt13433802,3.14,1010583,Michael Sarnoski,https://letterboxd.com/film/a-quiet-place-day-one/
tt13004806,2.65,735,Nishanth Sattu,https://letterboxd.com/film/a-ranjith-cinema/
tt21823606,3.72,1144144,Jesse Eisenberg,https://letterboxd.com/film/a-real-pain/
tt27428598,2.61,889,Jonathan Judge,https://letterboxd.com/film/a-really-haunted-loud-house/
